INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
Форма банка (без печати работодателя),Покупка недвижимости/ строительство,0,0.17,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,<50,0.0,149.0,53.0,Торговля,Индивидуальный предприниматель,гражданский брак,0.0,0.0,0.0,0.0,0.0,0.0439330544,1.0,1.0,0.0,0.0,0.25,5.0,15.0,457.0,20.0,2.0,1.0,4.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,0,0.59,женский,0,0,Высшее/Второе высшее/Ученая степень,специалист,<50,0.0,6.0,25.0,Торговля,ООО,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.0434782609,0.0,1.0,0.0,0.0,0.6666666667,2.0,1.0,44.0,3.0,1.0,0.0,5.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.59,женский,0,0,высшее,рабочий,>250,1.0,88.0,41.0,Другое,ЗАО,женат / замужем,2.0,2.0,2.0,1.0,1.0,0.037037037,0.0,0.0,0.0,0.0,1.0,2.0,0.0,26.0,2.0,1.0,0.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.18,женский,0,0,среднее-специальное,специалист,>250,0.0,159.0,51.0,Торговля,ЗАО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,26.0,2.0,0.0,1.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка автомобиля,0,0.4,женский,1,0,среднее-специальное,вспомогательный персонал,<50,2.0,21.0,48.0,Торговля,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,5.0,0.0,0.0,61.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка автомобиля,1,0.47,женский,2,0,среднее-специальное,специалист,<50,0.0,43.0,34.0,Торговля,ООО,разведен / разведена,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,2.0,18.0,151.0,20.0,2.0,3.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,1,0.37,женский,1,0,среднее-специальное,менеджер среднего звена,>250,2.0,98.0,42.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,6.0,38.0,8.0,0.0,0.0,11.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка автомобиля,1,0.35,женский,1,0,среднее-специальное,вспомогательный персонал,>250,1.0,9.0,34.0,Другое,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.5,2.0,2.0,9.0,4.0,1.0,0.0,5.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.58,женский,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,38.0,25.0,Торговля,ЗАО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.4,2.0,3.0,37.0,5.0,1.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Покупка автомобиля,0,0.23,женский,0,0,высшее,рабочий,>250,0.0,29.0,36.0,Торговля,Индивидуальный предприниматель,женат / замужем,2.0,0.0,0.0,0.0,0.0,0.026119403,0.0,1.0,1.0,0.0,0.0952380952,2.0,19.0,261.0,21.0,0.0,1.0,2.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
